Training error
0.24064
0.24064
0.181
0.181
0.181
0.17396
0.1724
0.1664
0.16484
0.164
0.16164
0.16484
0.16464
0.16012
0.1626
0.16216
0.16132
0.16012
0.16116
0.16184
0.15996
0.16104
0.15808
0.15828
0.15888
0.1574
0.1574
0.15616
0.1568
0.15668
0.15688
0.15632
0.15624
0.15656
0.15616
0.15592
0.15632
0.15612
0.15564
0.1558
0.15604
0.1558
0.1562
0.15484
0.1552
0.15488
0.15504
0.15456
0.15544
0.15552
0.15568
0.15568
0.15512
0.15512
0.15436
0.1554
0.15448
0.15444
0.15464
0.15416
0.15368
0.15424
0.1538
0.1542
0.1538
0.15428
0.15384
0.15376
0.15408
0.1538
0.15376
0.15308
0.1528
0.15328
0.15388
0.15396
0.15424
0.15396
0.15328
0.15352
0.15396
0.15304
0.1534
0.15316
0.15324
0.15308
0.15296
0.15316
0.15296
0.15312
0.15296
0.15312
0.15328
0.15304
0.15368
0.15312
0.15328
0.15312
0.15344
0.1536
0.15348
0.15352
0.1534
0.1536
0.1534
0.1534
0.15376
0.15328
0.15364
0.15352
0.1532
0.15336
0.15352
0.15352
0.15348
0.15324
0.15328
0.15336
0.15316
0.15332
0.15316
0.1532
0.15328
0.15324
0.15324
0.15332
0.15336
0.15332
0.15332
0.15332
0.15336
0.15344
0.1534
0.1536
0.1534
0.1536
0.15324
0.1534
0.15332
0.1534
0.15328
0.15348
0.15344
0.15352
0.1536
0.1536
0.15324
0.15384
0.1536
0.15356
0.15376
0.1536
0.15364
0.1536
0.15368
0.15364
0.15352
0.15336
0.15336
0.15352
0.15348
0.1536
0.15352
0.15348
0.15352
0.15356
0.15356
0.1532
0.15344
0.1536
0.15352
0.15356
0.15348
0.1536
0.15344
0.15356
0.15344
0.15356
0.15368
0.15352
0.15364
0.15376
0.15368
0.15364
0.1538
0.15332
0.15356
0.15328
0.15356
0.1534
0.15344
0.15328
0.15328
0.15344
0.15328
0.1536
0.15332
0.15348
0.15336
0.15356
0.1536
0.15356
0.1536
0.1536
0.15356
0.15352
0.15356
0.15356
0.15364
0.15364
0.15348
0.1534
0.15348
0.1536
0.1534
0.1536
0.15336
0.15352
0.15292
0.15332
0.15344
0.153
0.15304
0.15304
0.15332
0.15312
0.15304
0.15304
0.15308
0.153
0.15332
0.15336
0.15344
0.15332
0.15304
0.15312
0.15308
0.15312
0.15312
0.15336
0.15316
0.15312
0.15312
0.15308
0.15308
0.153
0.15308
0.15308
0.15316
0.15308
0.15316
0.15304
0.15312
0.15308
0.15304
0.15304
0.15316
0.15304
0.153
0.15304
0.15316
0.15304
0.15308
0.15308
0.15316
0.15316
0.15308
0.15316
0.15284
0.1532
0.15312
0.1532
0.15312
0.15312
0.15324
0.1532
0.15328
0.1532
0.15312
0.1532
0.1532
0.15316
0.1532
0.15316
0.15316
0.15316
0.1532
0.1532
0.1532
0.15316
0.1532
0.1532
0.1532
0.15316
0.15324
0.1532
0.15312
0.15324
0.15312
0.1532
0.15312
0.15324
0.15308
0.1532
0.15312
0.15324
0.15312
0.1532
0.15312
0.15308
0.15292
0.15296
0.153
0.15296
0.15312
0.15292
0.15316
0.1528
0.15304
0.15308
0.15308
0.15288
0.15308
0.15312
0.15288
0.15308
0.15292
0.15308
0.153
0.15308
0.15308
0.15308
0.153
0.15316
0.15304
0.15296
0.15304
0.15296
0.15304
0.15304
0.153
0.15308
0.15304
0.15304
0.15304
0.153
0.15304
0.15308
0.15304
0.15296
0.15308
0.15288
0.15312
0.15288
0.15288
0.15288
0.15288
0.15288
0.153
0.15292
0.15304
0.15272
0.15296
0.15284
0.15252
0.15284
0.15244
0.15292
0.15272
0.153
0.1524
0.15292
0.1524
0.15288
0.1524
0.15288
0.15236
0.15284
0.15276
0.15264
0.15276
0.15256
0.15248
0.1526
0.1528
0.15268
0.15256
0.15268
0.15256
0.15264
0.1526
0.15244
0.15276
0.15256
0.15252
0.15248
0.1526
0.15244
0.15248
0.15248
0.15248
0.15268
0.15264
0.15256
0.15276
0.15256
0.15268
0.15272
0.15268
0.15272
0.15268
0.1526
0.15256
0.15252
0.15264
0.15268
0.15256
0.15268
0.15248
0.15264
0.15252
0.15268
0.15252
0.15252
0.15252
0.15252
0.15248
0.15224
0.15244
0.1524
0.15228
0.15244
0.15232
0.15236
0.15248
0.15228
0.15228
0.15252
0.15232
0.15236
0.15244
0.15236
0.15256
0.15252
0.15236
0.1524
0.1524
0.15248
0.1526
0.1526
0.1526
0.15248
0.1526
0.15248
0.15256
0.15248
0.15256
0.15244
0.15256
0.15252
0.15256
0.15264
0.15256
0.1526
0.15244
0.15256
0.15256
0.15268
0.15248
0.15272
0.15252
0.15272
0.15252
0.15272
0.15252
0.15268
0.15248
0.15256
0.15228
0.1526
0.1526
0.15248
0.15248
0.15244
0.15244
0.15244
0.15248
0.15252
0.15244
0.15256
0.15244
0.15244
0.15244
0.1526
0.15308
0.15244
0.15292
0.1528
0.15276
0.15276
