training_ error,test_ error
0.11919999999999997,0.12480000000000002
0.4142,0.40580000000000005
0.19699999999999995,0.20299999999999996
0.10880000000000001,0.11660000000000004
0.8808,0.8752
0.18400000000000005,0.19120000000000004
0.4192,0.4072
0.8056,0.8006
0.2146,0.21999999999999997
0.776,0.7747999999999999
0.4264,0.44299999999999995
0.10880000000000001,0.11660000000000004
0.4142,0.40580000000000005
0.5711999999999999,0.5676
0.11919999999999997,0.12480000000000002
0.7372000000000001,0.7384
0.21599999999999997,0.21799999999999997
0.40359999999999996,0.4042
0.775,0.7718
0.38880000000000003,0.3832
0.6198,0.6144000000000001
0.24580000000000002,0.24180000000000001
0.34619999999999995,0.359
0.5938,0.5842
0.10880000000000001,0.11660000000000004
0.4768,0.47040000000000004
0.7298,0.7246
0.10880000000000001,0.11660000000000004
0.7372000000000001,0.7384
0.5808,0.5928
0.16779999999999995,0.17159999999999997
0.775,0.7718
0.6198,0.6144000000000001
0.1986,0.20999999999999996
0.10880000000000001,0.11660000000000004
0.8488,0.8472
0.2522,0.25539999999999996
0.34619999999999995,0.359
0.6772,0.6694
0.10880000000000001,0.11660000000000004
0.8488,0.8472
0.5800000000000001,0.5840000000000001
0.6198,0.6144000000000001
0.10880000000000001,0.11660000000000004
0.6286,0.6317999999999999
0.46399999999999997,0.46499999999999997
0.4142,0.40580000000000005
0.16779999999999995,0.17159999999999997
0.7258,0.7248
0.7372000000000001,0.7384
0.10880000000000001,0.11660000000000004
0.6648000000000001,0.663
0.6198,0.6144000000000001
0.24560000000000004,0.248
0.8638,0.8616
0.32699999999999996,0.32420000000000004
0.6674,0.6612
0.8638,0.8616
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.7372000000000001,0.7384
0.11919999999999997,0.12480000000000002
0.5873999999999999,0.602
0.8638,0.8616
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.775,0.7718
0.11919999999999997,0.12480000000000002
0.5778,0.5751999999999999
0.5808,0.5928
0.6198,0.6144000000000001
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.16779999999999995,0.17159999999999997
0.7747999999999999,0.7778
0.775,0.7718
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.24439999999999995,0.239
0.8638,0.8616
0.7372000000000001,0.7384
0.1452,0.15439999999999998
0.6516,0.642
0.34619999999999995,0.359
0.8638,0.8616
0.35,0.34219999999999995
0.8638,0.8616
0.16779999999999995,0.17159999999999997
0.8488,0.8472
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.6866,0.6814
0.129,0.133
0.7518,0.7544
0.11880000000000002,0.12280000000000002
0.775,0.7718
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.474,0.47440000000000004
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.33740000000000003,0.34819999999999995
0.46740000000000004,0.46099999999999997
0.6198,0.6144000000000001
0.46799999999999997,0.4746
0.18400000000000005,0.19120000000000004
0.8638,0.8616
0.24439999999999995,0.2538
0.698,0.6908000000000001
0.16779999999999995,0.17159999999999997
0.8488,0.8472
0.7372000000000001,0.7384
0.4142,0.40580000000000005
0.10880000000000001,0.11660000000000004
0.8638,0.8616
0.3518,0.3486
0.6208,0.6244000000000001
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.36619999999999997,0.365
0.7518,0.7544
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.775,0.7718
0.1604,0.16300000000000003
0.819,0.8212
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.7372000000000001,0.7384
0.11919999999999997,0.12480000000000002
0.8502000000000001,0.8464
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.20140000000000002,0.2046
0.5808,0.5928
0.6198,0.6144000000000001
0.21860000000000002,0.21640000000000004
0.775,0.7718
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.20940000000000003,0.21040000000000003
0.6198,0.6144000000000001
0.5568,0.5529999999999999
0.8638,0.8616
0.36560000000000004,0.3738
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.35640000000000005,0.3568
0.7518,0.7544
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.4142,0.40580000000000005
0.11919999999999997,0.12480000000000002
0.7372000000000001,0.7384
0.11919999999999997,0.12480000000000002
0.683,0.6776
0.16779999999999995,0.17159999999999997
0.8488,0.8472
0.19440000000000002,0.19940000000000002
0.32699999999999996,0.32420000000000004
0.8638,0.8616
0.7854,0.78
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.6112,0.6168
0.27480000000000004,0.28480000000000005
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.51,0.51
0.18400000000000005,0.19120000000000004
0.7694,0.762
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.39680000000000004,0.40759999999999996
0.775,0.7718
0.16779999999999995,0.17159999999999997
0.8488,0.8472
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.5247999999999999,0.5202
0.6866,0.6814
0.27480000000000004,0.28480000000000005
0.19440000000000002,0.19940000000000002
0.8638,0.8616
0.381,0.38539999999999996
0.8502000000000001,0.8464
0.11919999999999997,0.12480000000000002
0.8638,0.8616
0.1904,0.19299999999999995
0.8638,0.8616
0.20140000000000002,0.2046
0.6816,0.6726
0.7854,0.78
0.235,0.246
0.7130000000000001,0.7081999999999999
0.11919999999999997,0.12480000000000002
0.8638,0.8616
