training_error_ 2,test_error_2,training_error_ 4,test_error_4,training_error_ 6,test_error_6
0.0136,0.122,0.0136,0.123,0.0136,0.1258
0.0136,0.1226,0.0136,0.122,0.0136,0.1264
0.0136,0.1226,0.0136,0.1222,0.0136,0.1258
0.0136,0.1224,0.0136,0.1216,0.0136,0.1266
0.0136,0.1228,0.0136,0.1218,0.0136,0.1266
0.0136,0.1228,0.0136,0.1214,0.0136,0.1268
0.0136,0.1226,0.0136,0.1212,0.0138,0.1266
0.0136,0.1224,0.0136,0.122,0.0136,0.1266
0.0136,0.1222,0.0136,0.1214,0.0138,0.1268
0.0136,0.122,0.0136,0.122,0.0136,0.127
0.0136,0.1232,0.0136,0.1214,0.0136,0.1264
0.0136,0.1234,0.0136,0.1222,0.0136,0.1268
0.0136,0.1232,0.0136,0.1216,0.0136,0.1268
0.0136,0.1236,0.0136,0.1214,0.0136,0.1266
0.0136,0.1234,0.0136,0.1212,0.0136,0.1262
0.0136,0.1232,0.0136,0.122,0.0136,0.1266
0.0136,0.1234,0.0136,0.1218,0.0136,0.126
0.0136,0.1234,0.0136,0.1226,0.0136,0.1262
0.0136,0.1238,0.0136,0.1216,0.0136,0.1262
0.0136,0.1238,0.0136,0.122,0.0136,0.1274
0.0136,0.1232,0.0136,0.1218,0.0136,0.1264
0.0136,0.1232,0.0136,0.1218,0.0136,0.1266
0.0136,0.1232,0.0136,0.1218,0.0136,0.1262
0.0136,0.1232,0.0136,0.1214,0.0136,0.126
0.0136,0.1232,0.0136,0.1214,0.0136,0.1252
0.0136,0.1234,0.0136,0.122,0.0136,0.126
0.0136,0.1238,0.0136,0.122,0.0136,0.1262
0.0136,0.1238,0.0136,0.1216,0.0136,0.1266
0.0136,0.1238,0.0136,0.122,0.0136,0.1256
0.0136,0.123,0.0136,0.1216,0.0136,0.1262
0.0136,0.1234,0.0136,0.122,0.0136,0.1262
0.0136,0.1226,0.0136,0.1218,0.0136,0.1258
0.0136,0.1232,0.0136,0.1222,0.0136,0.1262
0.0136,0.1228,0.0136,0.1218,0.0136,0.1258
0.0136,0.1236,0.0136,0.1222,0.0136,0.1258
0.0136,0.1228,0.0136,0.1224,0.0136,0.1264
0.0136,0.1234,0.0136,0.1222,0.0136,0.1264
0.0136,0.1226,0.0136,0.122,0.0136,0.1262
0.0136,0.1228,0.0136,0.1222,0.0136,0.1262
0.0136,0.1222,0.0136,0.1218,0.0136,0.1264
0.0136,0.123,0.0136,0.1214,0.0136,0.1264
0.0136,0.1226,0.0136,0.122,0.0136,0.1264
0.0136,0.1234,0.0136,0.121,0.0136,0.1266
0.0136,0.1222,0.0136,0.1214,0.0136,0.1264
0.0136,0.1228,0.0136,0.1212,0.0136,0.127
0.0136,0.1226,0.0136,0.1206,0.0136,0.1272
