training_error_ 2,test_error_2,training_error_ 4,test_error_4,training_error_ 6,test_error_6
0.0136,0.1224,0.0136,0.123,0.0136,0.1252
0.0136,0.1224,0.0136,0.1228,0.0136,0.1252
0.0136,0.1226,0.0136,0.123,0.0136,0.125
0.0136,0.1228,0.0136,0.123,0.0136,0.1252
0.0136,0.1226,0.0136,0.123,0.0136,0.125
0.0136,0.1222,0.0136,0.123,0.0136,0.125
0.0136,0.1222,0.0136,0.1228,0.0136,0.125
0.0136,0.1222,0.0136,0.1228,0.0136,0.1246
0.0136,0.122,0.0136,0.1232,0.0136,0.1246
0.0136,0.1222,0.0136,0.1232,0.0136,0.1248
0.0136,0.122,0.0136,0.1234,0.0136,0.1248
0.0136,0.122,0.0136,0.1234,0.0136,0.1248
0.0136,0.122,0.0136,0.1234,0.0136,0.1246
0.0136,0.122,0.0136,0.1232,0.0136,0.125
0.0136,0.1218,0.0136,0.1234,0.0136,0.1248
0.0136,0.1218,0.0136,0.1232,0.0136,0.125
0.0136,0.1218,0.0136,0.1232,0.0136,0.1248
0.0136,0.1218,0.0136,0.1232,0.0136,0.1246
0.0136,0.1218,0.0136,0.1232,0.0136,0.1248
0.0136,0.1218,0.0136,0.1232,0.0136,0.1246
0.0136,0.1218,0.0136,0.1232,0.0136,0.1248
0.0136,0.1218,0.0136,0.1232,0.0136,0.1246
0.0136,0.1218,0.0136,0.123,0.0136,0.1244
0.0136,0.1218,0.0136,0.1234,0.0136,0.124
0.0136,0.1222,0.0136,0.1234,0.0136,0.1242
0.0136,0.1218,0.0136,0.1234,0.0136,0.1244
